movie,year,genre,color,language,country,rating,duration,budget
Iron Man,2008,Action,Color,English,USA,PG-13,126,140000000
The Wrestler,2008,Drama,Color,English,USA,R,109,6000000
Gravity,2013,Adventure,Color,English,UK,PG-13,91,100000000
Shine,1996,Biography,Color,English,Australia,PG-13,105,5500000
You Can Count on Me,2000,Drama,Color,English,USA,R,111,1200000
The Station Agent,2003,Comedy,Color,English,USA,R,89,500000
Traffic,2000,Crime,Color,English,USA,R,190,48000000
Mean Streets,1973,Crime,Color,English,USA,R,112,500000
Raging Bull,1980,Biography,Black and White,English,USA,R,121,18000000
2001: A Space Odyssey,1968,Adventure,Color,English,UK,G,161,12000000
Stand by Me,1986,Adventure,Color,English,USA,R,89,8000000
Shaun of the Dead,2004,Comedy,Color,English,UK,R,99,4000000
Hot Fuzz,2007,Action,Color,English,UK,R,121,8000000
Letters from Iwo Jima,2006,Drama,Color,Japanese,USA,R,141,19000000
The Lego Movie,2014,Action,Color,English,Australia,PG,100,60000000
Run Lola Run,1998,Crime,Black and White,German,Germany,R,81,3500000
Star Trek,2009,Action,Color,English,USA,PG-13,127,150000000
Catch Me If You Can,2002,Biography,Color,English,USA,PG-13,141,52000000
Argo,2012,Biography,Color,English,USA,R,130,44500000
Henry V,1989,Action,Color,English,UK,PG-13,137,9000000
Brooklyn,2015,Drama,Color,English,UK,PG-13,111,11000000
Guardians of the Galaxy,2014,Action,Color,English,USA,PG-13,121,170000000
The Bourne Ultimatum,2007,Action,Color,English,USA,PG-13,115,110000000
Slumdog Millionaire,2008,Drama,Color,English,UK,R,120,15000000
Captain Phillips,2013,Biography,Color,English,USA,PG-13,134,55000000
The Hurt Locker,2008,Drama,Color,English,USA,R,131,15000000
House of Flying Daggers,2004,Action,Color,Mandarin,China,PG-13,119,100000000
The Truman Show,1998,Comedy,Color,English,USA,PG,103,60000000
Groundhog Day,1993,Comedy,Color,English,USA,PG,101,14600000
Children of Men,2006,Drama,Color,English,USA,R,109,76000000
Close Encounters of the Third Kind,1977,Drama,Color,English,USA,PG,135,19400870
The Matrix,1999,Action,Color,English,USA,R,136,63000000
Oldboy,2003,Drama,Color,Korean,South Korea,R,120,3000000
The Martian,2015,Adventure,Color,English,USA,PG-13,151,108000000
Million Dollar Baby,2004,Drama,Color,English,USA,PG-13,132,30000000
Silver Linings Playbook,2012,Comedy,Color,English,USA,R,122,21000000
Moonrise Kingdom,2012,Adventure,Color,English,USA,PG-13,94,16000000
Creed,2015,Drama,Color,English,USA,PG-13,133,35000000
This Is England,2006,Crime,Color,English,UK,Unrated,101,1500000
Moneyball,2011,Biography,Color,English,USA,PG-13,133,50000000
Midnight Run,1988,Action,Color,English,USA,R,126,30000000
The Piano,1993,Drama,Color,English,New Zealand,R,121,7000000
Leaving Las Vegas,1995,Drama,Color,English,USA,R,111,3600000
The Dark Knight Rises,2012,Action,Color,English,USA,PG-13,164,250000000
Edward Scissorhands,1990,Fantasy,Color,English,USA,PG-13,105,20000000
Fantastic Mr. Fox,2009,Adventure,Color,English,USA,PG,87,40000000
Kung Fu Hustle,2004,Action,Color,Cantonese,Hong Kong,R,99,20000000
Glengarry Glen Ross,1992,Crime,Color,English,USA,R,100,12500000
Lost in Translation,2003,Drama,Color,English,USA,R,101,4000000
Weekend,2011,Drama,Color,English,UK,Not Rated,97,120000
High Fidelity,2000,Comedy,Color,English,UK,R,113,20000000
Ghost World,2001,Comedy,Color,English,USA,R,111,7000000
Scarface,1983,Crime,Color,English,USA,R,142,25000000
Nightcrawler,2014,Crime,Color,English,USA,R,117,8500000
Airplane!,1980,Comedy,Color,English,USA,PG,88,3500000
